regime,latency_ms,algorithm,sequence,mean_lwsd,max_lwsd,std_lwsd,mean_error_mm,max_error_mm,mean_latency_ms
classical_vio,12,basalt,MH01,28.503598,59.077331,7.696357,5899.218,7073.472,12.077
classical_vio,12,basalt,MH02,25.356542,47.727289,6.287988,5240.403,5595.072,12.095
classical_vio,12,basalt,MH03,27.080074,52.905767,6.915304,5594.642,6487.235,12.104
classical_vio,12,basalt,MH05,72.648241,222.314088,40.599121,14940.097,28187.066,12.110
classical_vio,12,basalt,V101,18.179079,62.345690,8.801180,3752.788,8135.356,12.108
classical_vio,12,basalt,V202,8.801615,16.761621,2.162317,1817.377,1884.482,12.107
classical_vio,12,kimera,MH01,1.479938,4.660200,0.909109,308.382,778.806,11.978
classical_vio,12,kimera,MH02,1.475311,4.813837,0.770077,308.228,711.172,11.971
classical_vio,12,kimera,MH03,2.659003,6.545460,1.015412,553.273,881.216,11.970
classical_vio,12,kimera,MH05,1.104667,3.643570,0.786260,229.242,492.854,12.022
classical_vio,12,kimera,V101,0.947520,2.716911,0.429713,196.572,337.812,11.977
classical_vio,12,kimera,V202,0.715230,1.836492,0.441901,149.472,283.542,11.953
classical_vio,12,openvins,MH01,52.882404,176.693609,27.967372,11019.007,20768.135,12.005
classical_vio,12,openvins,MH02,61.803319,212.979506,32.938369,12869.132,23765.473,12.016
classical_vio,12,openvins,MH03,47.983340,161.537933,25.917995,9993.783,18815.296,12.007
classical_vio,12,openvins,MH05,22.066226,93.023876,13.253978,4592.031,10859.501,12.016
classical_vio,12,openvins,V101,12.919411,29.189440,3.344045,2690.194,3126.337,12.005
classical_vio,12,openvins,V202,20.148173,66.481706,9.912097,4194.544,7877.403,12.015
classical_vio,12,orbslam3,MH01,28.896988,88.914992,12.608143,5980.824,11438.035,12.070
classical_vio,12,orbslam3,MH02,30.047318,95.343083,15.995235,6201.265,12112.888,12.112
classical_vio,12,orbslam3,MH03,37.179239,111.035212,20.880886,7653.553,15936.190,12.106
classical_vio,12,orbslam3,MH05,63.491653,180.532073,33.372982,13030.351,21992.797,12.144
classical_vio,12,orbslam3,V101,19.908500,63.283113,9.325234,4105.118,8145.073,12.117
classical_vio,12,orbslam3,V202,17.471596,47.731106,6.388816,3610.469,5527.415,12.107
classical_vio,12,rovio,MH01,27.424605,57.883898,7.565963,5674.105,7016.549,12.077
classical_vio,12,rovio,MH02,29.495999,67.183672,8.820109,6095.699,8148.448,12.095
classical_vio,12,rovio,MH03,29.293796,57.478073,7.606203,6049.702,7015.017,12.104
classical_vio,12,rovio,MH05,79.687499,240.868210,44.404461,16388.680,30517.594,12.110
classical_vio,12,rovio,V101,18.570993,63.270062,8.926856,3834.107,8252.641,12.108
classical_vio,12,rovio,V202,10.419180,28.370049,4.049769,2154.225,3336.835,12.107
classical_vio,12,svo2,MH01,28.714230,60.514354,7.882217,5942.384,7224.930,12.077
classical_vio,12,svo2,MH02,26.597123,52.383319,6.822890,5495.919,6269.326,12.095
classical_vio,12,svo2,MH03,27.176246,54.581047,6.985529,5614.558,6467.275,12.104
