algorithm,latency_ms,mean_lwsd,mean_error_mm
basalt,0,0.0208,51.958
basalt,25,0.5258,52.580
basalt,50,1.1883,59.416
basalt,75,2.0893,69.645
basalt,100,3.2760,81.900
basalt,125,4.7798,95.596
basalt,150,6.6038,110.064
basalt,175,8.7515,125.022
basalt,200,11.2227,140.283
basalt,225,14.0193,155.770
basalt,250,17.1379,171.379
basalt,275,20.5809,187.099
basalt,300,24.3429,202.857
basalt,325,28.4270,218.669
basalt,350,32.8262,234.473
basalt,375,37.5447,250.298
basalt,400,42.5741,266.088
basalt,425,47.9196,281.880
basalt,450,53.5714,297.619
basalt,475,59.5360,313.347
basalt,500,65.8026,329.013
basalt,525,72.3787,344.661
basalt,550,79.2521,360.237
basalt,575,86.4313,375.788
basalt,600,93.9037,391.265
basalt,625,101.6784,406.713
basalt,650,109.7411,422.081
basalt,675,118.1026,437.417
basalt,700,126.7482,452.672
basalt,725,135.6884,467.891
basalt,750,144.9079,483.026
basalt,775,154.4191,498.126
basalt,800,164.2059,513.143
basalt,825,174.2802,528.122
basalt,850,184.6255,543.016
basalt,875,195.2555,557.873
basalt,900,206.1532,572.648
basalt,925,217.3309,587.381
basalt,950,228.7722,602.032
basalt,975,240.4911,616.644
basalt,1000,252.4700,631.175
kimera,0,0.0584,145.933
kimera,25,1.4572,145.719
kimera,50,2.9686,148.431
kimera,75,4.6086,153.621
kimera,100,6.4367,160.918
kimera,125,8.4944,169.889
kimera,150,10.8091,180.152
kimera,175,13.3922,191.317
kimera,200,16.2589,203.237
kimera,225,19.4110,215.677
kimera,250,22.8633,228.633
kimera,275,26.6095,241.904
kimera,300,30.6671,255.559
kimera,325,35.0216,269.397
kimera,350,39.6949,283.535
kimera,375,44.6637,297.758
kimera,400,49.9546,312.216
kimera,425,55.5363,326.684
kimera,450,61.4416,341.342
kimera,475,67.6317,355.956
kimera,500,74.1467,370.734
kimera,525,80.9403,385.430
kimera,550,88.0598,400.272
kimera,575,95.4512,415.005
kimera,600,103.1693,429.872
kimera,625,111.1525,444.610
kimera,650,119.4630,459.473
kimera,675,128.0317,474.191
kimera,700,136.9281,489.029
kimera,725,146.0760,503.710
kimera,750,155.5518,518.506
kimera,775,165.2723,533.137
kimera,800,175.3209,547.878
kimera,825,185.6073,562.446
kimera,850,196.2220,577.123
kimera,875,207.0681,591.623
kimera,900,218.2425,606.229
kimera,925,229.6423,620.655
kimera,950,241.3705,635.186
kimera,975,253.3181,649.533
kimera,1000,265.5942,663.985
openvins,0,0.0369,92.152
openvins,25,0.9105,91.054
openvins,50,1.8722,93.609
openvins,75,3.0045,100.152
openvins,100,4.3676,109.189
openvins,125,6.0285,120.571
openvins,150,7.9924,133.207
openvins,175,10.3088,147.269
openvins,200,12.9551,161.939
openvins,225,15.9726,177.473
openvins,250,19.3313,193.313
openvins,275,23.0700,209.728
openvins,300,27.1518,226.265
openvins,325,31.6157,243.197
openvins,350,36.4217,260.155
openvins,375,41.6107,277.405
openvins,400,47.1394,294.621
openvins,425,53.0489,312.052
openvins,450,59.2931,329.406
openvins,475,65.9148,346.920
openvins,500,72.8663,364.332
openvins,525,80.1932,381.872
openvins,550,87.8452,399.296
openvins,575,95.8704,416.828
openvins,600,104.2163,434.235
openvins,625,112.9334,451.734
openvins,650,121.9669,469.103
openvins,675,131.3694,486.553
openvins,700,141.0841,503.872
openvins,725,151.1659,521.262
openvins,750,161.5557,538.519
openvins,775,172.3111,555.842
openvins,800,183.3698,573.031
openvins,825,194.7926,590.281
openvins,850,206.5144,607.395
openvins,875,218.5986,624.567
openvins,900,230.9775,641.604
openvins,925,243.7171,658.695
openvins,950,256.7474,675.651
openvins,975,270.1368,692.659
openvins,1000,283.8128,709.532
orbslam3,0,0.0110,27.416
orbslam3,25,0.2788,27.880
orbslam3,50,0.7677,38.383
orbslam3,75,1.5853,52.843
orbslam3,100,2.7589,68.972
orbslam3,125,4.2846,85.692
orbslam3,150,6.1698,102.830
orbslam3,175,8.4049,120.071
orbslam3,200,11.0004,137.505
orbslam3,225,13.9419,154.910
orbslam3,250,17.2442,172.442
orbslam3,275,20.8874,189.886
orbslam3,300,24.8918,207.432
orbslam3,325,29.2313,224.856
orbslam3,350,33.9324,242.374
orbslam3,375,38.9619,259.746
orbslam3,400,44.3531,277.207
orbslam3,425,50.0659,294.505
orbslam3,450,56.1405,311.892
orbslam3,475,62.5297,329.104
orbslam3,500,69.2806,346.403
orbslam3,525,76.3393,363.521
orbslam3,550,83.7596,380.726
orbslam3,575,91.4806,397.742
orbslam3,600,99.5631,414.846
orbslam3,625,107.9392,431.757
orbslam3,650,116.6769,448.757
orbslam3,675,125.7013,465.561
orbslam3,700,135.0874,482.455
orbslam3,725,144.7532,499.149
orbslam3,750,154.7807,515.936
orbslam3,775,165.0813,532.520
orbslam3,800,175.7433,549.198
